Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Unpolarized capacitor,C,C1 C2 C3 C4,300pF,C_Disc_D7.5mm_W2.5mm_P5.00mm,4,~
2,Polarized capacitor,C_Polarized,C5,1ÂµF,CP_Radial_D5.0mm_P2.50mm,1,~
3,Light emitting diode,LED,D1,LED,LED_D5.0mm,1,~
4,"Audio Jack, 2 Poles (Mono / TS)",AudioJack2,J1 J2 J3 J4,AUDIO INPUT,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,4,~
5,Resistor,R,R1 R21,330R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,~
6,Resistor,R,R10 R19,1K8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,~
7,Resistor,R,R3 R7,50K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,~
8,Resistor,R,R20,51K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~
9,Resistor,R,R2,72K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~
10,Resistor,R,R11 R13 R15 R17,91K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,~
11,Resistor,R,R8 R9 R12 R14 R16 R18,100K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,~
12,Resistor,R,R4 R5 R6,220K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,~
13,Potentiometer,R_Potentiometer,RV1 RV2,100K,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,2,~
14,"Voltage Controlled Filter (VCF), DIP-18",AS3320,U1,AS3320,DIP-18_W7.62mm,1,http://www.alfarzpp.lv/eng/sc/AS3320.pdf





Component Groups:,14
Component Count:,34
Fitted Components:,34
Number of PCBs:,1
Total components:,34
Schematic Version:,
Schematic Date:,
PCB Variant:,default
BoM Date:,Sun 11 Oct 2020 05:26:40 PM CEST
Schematic Source:,AS3320-VCF.sch
KiCad Version:,Eeschema 5.1.6
